name,mem,net,cpu,speed1_out,speed8_out,speed32_out,speed1_in,speed8_in,speed32_in,speed256
minivite-A,9359.2,35636.2,0.996576572312422,1.0,0.8786241566549703,-1.0,1.0,0.040462677759617705,-1.0,-1
ember-A,106837.33333333333,8018409916.666666,0.380230633772483,1.0,0.007916335053665725,0.005408725448822219,1.0,0.08883566966414067,0.047348080337085784,0.043746651740989226
ember-B,224727.33333333334,27064078459.166664,0.3886400214710264,1.0,0.002437197002351894,0.0023743844719854583,1.0,0.034539096907236666,0.017009028642474347,0.014717979102888298
ember-C,599840.0,125374097661.83333,0.3969451170369486,1.0,0.000645058832219214,0.0006129758835290551,1.0,0.011440831655511097,0.005274796936889079,0.004562970730389648
sw4lite-A,425470.4,153380420.8,0.9479538456781731,1.0,6.298267481456196,21.601027507733928,1.0,4.175171196234099,12.121372007980428,-1
macsio-A,32432.666666666668,128000.66666666667,0.1553368172873247,1.0,0.5370975715979958,0.25290427832308565,1.0,0.2998860192828601,0.14873236683946883,0.01984332224529759
macsio-B,42820.666666666664,192797.66666666666,0.142591806358701,1.0,0.5668313030260668,0.2701373609462747,1.0,0.3321940422035821,0.10157637014023695,0.021191446112880447
macsio-C,172779.33333333334,1184834.8333333335,0.1297212297328777,1.0,0.5625156989099915,0.2820076603962759,1.0,0.18262600697699868,0.05999472787713822,0.019137456990620347
laghos-A,18545.333333333332,536968091.8333333,0.43380085380644484,1.0,0.5564845540715255,0.31035731005430295,1.0,3.8587053470438026,5.5967079076158015,-1.0
laghos-B,32314.0,5677360161.0,0.6221696346804988,1.0,2.497013778215605,1.9208022578351205,1.0,4.639348874667977,12.803961517707506,1.4840412920021129
laghos-C,41782.666666666664,4387010458.0,0.7501299348035863,1.0,3.5624187446965574,3.4969672826723315,1.0,4.815948494262256,14.661708094659668,3.0630514548164847
miniqmc-A,255242.4,2049109.0,0.435633290181504,1.0,1.036802538986856,1.0180182922538474,1.0,0.13551925984896881,0.039350936051329125,-1
miniqmc-B,644783.2,8776123.6,0.4530218972733193,1.0,1.0050918693707156,1.031088127509673,1.0,0.17705135432396166,0.05771938675394191,-1
miniqmc-C,1510648.0,37630159.8,0.5635274479835335,1.0,1.2707918817483763,1.2512704980744742,1.0,0.346301486861344,0.12322333979613273,-1
swfft-A,4655.2,35776.6,1.1794452122818877,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1
swfft-B,24819.2,4019203166.8,0.8709122139450489,1.0,3.178371863753426,-1.0,1.0,4.789692491620356,-1.0,-1
swfft-C,45308.0,977996.8,0.9978064169433841,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1
picsar-A,153014.0,128867750.66666667,0.6632728694324647,1.0,3.0609775060184363,4.853154388276174,1.0,2.612728683443573,-1.0,-1.0
picsar-B,358698.6666666667,191758783.3333333,0.6971958772348078,1.0,3.4027898086536186,5.358954351495224,1.0,2.963548282149787,2.9815465450262884,-1.0
picsar-C,970844.0,319049287.6666666,0.6828797092005411,1.0,4.053543212151532,6.999847726467675,1.0,3.6397854068889113,3.3176039888697604,-1.0
miniamr-A,301755.3333333333,13437547167.5,0.46869859184247664,1.0,0.0673551741624025,0.03937965211654042,1.0,0.32758052117064906,0.24246853060527226,-1.0
nekbone-A,45670.4,1471702457.8,0.8262814791754659,1.0,0.5552130846010245,0.42755613877574644,1.0,0.5260078807078643,0.3107013633615126,-1
