date,app_name,input,cluster,total_time,ru_stime,rs_stime,maxrss,ixrss,idrss,minflt,majflt,nswap,inblock,oublock,msgsnd,msgrcv,nsignals,nvcsw,nivcsw,rxBytes,txBytes,rxPackets,txPackets,pi_5,pi_10,pi_15,total_pi
06-28-21-08:54:0,examl,A,c2-standard-30-2,83.170329,0.109836,0.178992,16960,0,0,1989,0,0,0,8,0,0,0,2582,810,2891698,2883910,28462,29080,0.241187,0.338886,0.497798,1452
06-28-21-16:51:3,examl,A,c2-standard-60-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-28-21-16:51:3,examl,B,c2-standard-60-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27-21-23:35:1,examl,A,c2-standard-8-2,43.631573,0.085444,0.077676,16460,0,0,1953,0,0,0,8,0,0,0,2283,339,1409478,1383142,14996,14803,0.126597,0.180822,0.279351,1452
06-27-21-23:35:1,examl,B,c2-standard-8-2,604.977599,0.435144,0.213616,23464,0,0,3646,0,0,0,8,0,0,0,2261,141,3511200,3310992,36672,33849,0.612734,1.070043,1.494909,3387
06-28-21-06:42:5,examl,B,c2-standard-16-2,479.281095,0.368686,0.220410,21016,0,0,2979,0,0,0,8,0,0,0,2474,178,6953064,6845272,72312,71080,0.551677,0.932449,1.279909,3387
06-28-21-06:52:4,examl,A,c2-standard-16-2,51.942905,0.094043,0.099231,16704,0,0,1969,0,0,0,8,0,0,0,2392,52,2708158,2741548,28317,29222,0.155888,0.215013,0.322800,1452
06-27-21-21:07:4,examl,A,c2-standard-4-2,41.866094,0.114961,0.057480,16472,0,0,2019,32,0,2688,8,0,0,0,2393,41,712686,697492,7611,7491,0.125959,0.178741,0.293022,1452
06-27-21-21:07:4,examl,B,c2-standard-4-2,770.397644,0.632101,0.226908,28912,0,0,5068,0,0,0,8,0,0,0,2277,192,1735180,1764430,18020,18573,0.820538,1.478673,2.104589,3387
06-27-21-21:45:2,examl,A,c2-standard-4-8,103.432544,0.142335,0.199269,16200,0,0,1904,0,0,0,8,0,0,0,2322,588,2008160,1984392,20428,20836,0.304941,0.426449,0.625605,1452
