ite,target,bo,name,best
1,0,bo4,picsar-B,0.5135135135135135
2,0,bo4,picsar-B,2.045045045045045
3,0,bo4,picsar-B,6.621621621621621
4,0,bo4,picsar-B,8.342342342342342
5,0,bo4,picsar-B,15.513513513513512
6,0,bo4,picsar-B,853.0
7,0,bo4,picsar-B,855.6216216216217
8,0,bo4,picsar-B,1693.1081081081081
9,0,bo4,picsar-B,2530.5945945945946
10,0,bo4,picsar-B,2533.099099099099
11,0,bo4,picsar-B,2534.7387387387384
12,0,bo4,picsar-B,3372.2252252252247
13,0,bo4,picsar-B,4209.711711711711
14,0,bo4,picsar-B,4211.603603603603
15,0,bo4,picsar-B,5049.09009009009
16,0,bo4,picsar-B,5886.576576576576
17,0,bo4,picsar-B,5889.063063063063
18,0,bo4,picsar-B,5894.540540540541
19,0,bo4,picsar-B,6732.0270270270275
20,0,bo4,picsar-B,6735.585585585586
21,0,bo4,picsar-B,6738.081081081082
22,0,bo4,picsar-B,6740.765765765766
23,0,bo4,picsar-B,7578.252252252253
24,0,bo4,picsar-B,7579.036036036037
25,0,bo4,picsar-B,7581.252252252253
26,0,bo4,picsar-B,7584.747747747749
27,0,bo4,picsar-B,7588.117117117118
28,0,bo4,picsar-B,8425.603603603604
29,0,bo4,picsar-B,8427.279279279279
30,0,bo4,picsar-B,8427.279279279279
1,0,bo4,macsio-B,0.5263157894736842
2,0,bo4,macsio-B,8.01315789473684
3,0,bo4,macsio-B,38.078947368421055
4,0,bo4,macsio-B,50.05263157894737
5,0,bo4,macsio-B,99.59210526315789
6,0,bo4,macsio-B,528.3815789473683
7,0,bo4,macsio-B,560.6710526315788
8,0,bo4,macsio-B,562.9210526315788
9,0,bo4,macsio-B,564.736842105263
10,0,bo4,macsio-B,569.7105263157894
11,0,bo4,macsio-B,2544.460526315789
12,0,bo4,macsio-B,4519.210526315789
13,0,bo4,macsio-B,4549.763157894737
14,0,bo4,macsio-B,4574.921052631579
15,0,bo4,macsio-B,6549.671052631579
16,0,bo4,macsio-B,6585.723684210527
17,0,bo4,macsio-B,6602.289473684211
18,0,bo4,macsio-B,8577.03947368421
19,0,bo4,macsio-B,10551.78947368421
20,0,bo4,macsio-B,10565.210526315788
21,0,bo4,macsio-B,10569.78947368421
22,0,bo4,macsio-B,10588.223684210525
23,0,bo4,macsio-B,10591.276315789471
