"bo1","bo2","bo3","bo4","rs","app"
55.9964339205477,28.057057271236,38.3506169317452,35.5635118750446,32.5291348691249,"BT-A"
43.7281979065818,51.8323765936154,49.1043579738632,45.4101039537636,60.3535177705846,"BT-B"
53.276686968015,50.3927152094109,46.1030950875074,41.2943439393963,42.8928682441607,"BT-C"
97.6886738759248,260.581104154809,124.817871371656,345.242458736483,117.17359134889,"CG-A"
70.1323215822224,48.3258220997369,81.9967452706663,58.0588282974399,46.4626267286853,"CG-B"
53.4213307624786,58.5029681936569,66.4903902025913,52.5784953802915,52.5864116794969,"CG-C"
44.2233502538071,39.9414291292464,33.9867239359625,24.9265911753221,22.8285825849278,"EP-A"
38.7559097596861,34.6223884256989,23.4684404119667,21.9739087788131,21.1686611083865,"EP-B"
21.8090036480145,22.4318169413618,27.8922190932921,31.6227778900521,25.5565560264522,"EP-C"
74104.1284916201,73981.9301675977,27949.6117318436,28459.6061452514,27716.8854748603,"examl-A"
4985.47865183077,4966.04213567947,1400.42737309699,1387.01015655324,1386.20272135248,"examl-B"
87.8604323308271,100.958176691729,153.119830827068,156.253759398496,137.042763157895,"FT-A"
200.801032069138,175.993494512297,137.194200414256,267.746077661119,312.514707282813,"FT-B"
79.7929772011356,73.7647616932634,80.9764784834372,80.504312568992,78.3128105526706,"FT-C"
1848.2109375,1814.79947916667,1934.58072916667,94.0182291666666,89.0677083333333,"IS-A"
237.062789944978,242.857805588521,412.197648074226,175.260545905707,135.473513863416,"IS-B"
186.117216734822,116.589453287197,148.94177540107,134.5998968229,125.838500157282,"IS-C"
182.453934740883,180.970249520154,69.5585412667946,65.8282149712092,66.0038387715931,"kripke-A"
49.0978746204679,50.5058046079657,63.6056438649759,67.0064297195928,48.1948562243258,"kripke-B"
42.5868664482559,43.1583638465986,56.8572942763538,57.0045288109462,48.8950183079591,"kripke-C"
2389.77192982456,1709.79197994987,753.095238095238,751.588972431078,749.84962406015,"lammps-A"
246.491304347826,250.378260869565,249.708695652174,247.230434782609,248.486956521739,"lammps-B"
1261.82966121772,904.468609334281,403.623785832741,402.140251125326,400.309168443497,"lammps-C"
53.6983767459419,69.7977853277967,70.9063797659494,38.234805587014,30.8781930288159,"LU-A"
43.7575731534396,42.9936284228812,60.3915941833271,60.1394135448189,52.0682888202761,"LU-B"
47.5416217446729,46.3461081190809,47.0088042030647,46.6014759800149,42.6370168122033,"LU-C"
36830.6619047619,26028.4952380952,28072.9571428571,21412.9333333333,14109.8071428571,"LULESH-A"
24663.4563543004,25835.4014762516,24421.4563543004,21218.0481386393,14141.9470474968,"LULESH-B"
32405.44579413,32252.7451902823,22710.6834714226,19779.4873613257,19267.0882951833,"LULESH-C"
148.532561505065,143.675832127352,111.147612156295,66.6975397973951,321.418234442836,"MG-A"
93.88775778274,71.4370813082884,106.174635491922,65.8562327597531,46.097530539866,"MG-B"
67.7287652263111,63.2098833183741,77.2581254006924,67.7449211437364,65.277856135402,"MG-C"
277.291723202171,140.563772048847,90.2652645861601,88.1227951153324,77.353459972863,"Quicksilver-A"
93.4910777012786,86.6571589152733,74.1774624139385,70.574118308276,71.1489391597583,"Quicksilver-B"
101.74541203146,91.8181109615248,73.6387727627011,67.7324452632325,61.7274852972437,"Quicksilver-C"
123.246349681767,117.291183077499,81.5336016473231,45.8706476974916,40.2013290902284,"SP-A"
65.4151521559584,43.8380567447762,82.2404092071611,58.8278425254657,58.1479266331778,"SP-B"
71.0808466703107,55.300230623198,62.4986322807071,55.6173086605845,61.8025586319883,"SP-C"
