ite,target,bo,name,best
1,0,rs,picsar-A,1.7659574468085106
2,0,rs,picsar-A,1.7659574468085106
3,0,rs,picsar-A,1.7659574468085106
4,0,rs,picsar-A,1.7659574468085106
5,0,rs,picsar-A,1.7659574468085106
6,0,rs,picsar-A,1.7659574468085106
7,0,rs,picsar-A,1.7659574468085106
8,0,rs,picsar-A,1.7659574468085106
9,0,rs,picsar-A,1.7659574468085106
10,0,rs,picsar-A,1.7659574468085106
11,0,rs,picsar-A,1.7659574468085106
12,0,rs,picsar-A,1.7659574468085106
13,0,rs,picsar-A,1.7659574468085106
14,0,rs,picsar-A,1.7659574468085106
15,0,rs,picsar-A,1.7659574468085106
16,0,rs,picsar-A,1.7659574468085106
17,0,rs,picsar-A,1.7659574468085106
18,0,rs,picsar-A,1.7659574468085106
19,0,rs,picsar-A,1.7659574468085106
20,0,rs,picsar-A,1.7659574468085106
21,0,rs,picsar-A,1.7659574468085106
22,0,rs,picsar-A,1.7659574468085106
23,0,rs,picsar-A,1.7659574468085106
24,0,rs,picsar-A,1.7659574468085106
25,0,rs,picsar-A,1.7659574468085106
26,0,rs,picsar-A,1.7659574468085106
27,0,rs,picsar-A,1.7659574468085106
28,0,rs,picsar-A,1.7659574468085106
29,0,rs,picsar-A,1.7659574468085106
30,0,rs,picsar-A,1.7659574468085106
1,0,rs,amg-A,1.0
2,0,rs,amg-A,1.0
3,0,rs,amg-A,1.0
4,0,rs,amg-A,1.0
5,0,rs,amg-A,1.0
6,0,rs,amg-A,1.0
7,0,rs,amg-A,1.0
8,0,rs,amg-A,1.0
9,0,rs,amg-A,1.0
10,0,rs,amg-A,1.0
11,0,rs,amg-A,1.0
12,0,rs,amg-A,1.0
13,0,rs,amg-A,1.0
14,0,rs,amg-A,1.0
15,0,rs,amg-A,1.0
16,0,rs,amg-A,1.0
17,0,rs,amg-A,1.0
18,0,rs,amg-A,1.0
19,0,rs,amg-A,1.0
20,0,rs,amg-A,1.0
21,0,rs,amg-A,1.0
22,0,rs,amg-A,1.0
23,0,rs,amg-A,1.0
24,0,rs,amg-A,1.0
25,0,rs,amg-A,1.0
26,0,rs,amg-A,1.0
27,0,rs,amg-A,1.0
28,0,rs,amg-A,1.0
29,0,rs,amg-A,1.0
30,0,rs,amg-A,1.0
1,0,rs,sw4lite-A,1.1076280041797284
2,0,rs,sw4lite-A,1.1076280041797284
3,0,rs,sw4lite-A,1.1076280041797284
4,0,rs,sw4lite-A,1.1076280041797284
5,0,rs,sw4lite-A,1.1076280041797284
6,0,rs,sw4lite-A,1.1076280041797284
7,0,rs,sw4lite-A,1.1076280041797284
8,0,rs,sw4lite-A,1.1076280041797284
9,0,rs,sw4lite-A,1.1076280041797284
10,0,rs,sw4lite-A,1.1076280041797284
11,0,rs,sw4lite-A,1.0
12,0,rs,sw4lite-A,1.0
13,0,rs,sw4lite-A,1.0
14,0,rs,sw4lite-A,1.0
15,0,rs,sw4lite-A,1.0
16,0,rs,sw4lite-A,1.0
17,0,rs,sw4lite-A,1.0
18,0,rs,sw4lite-A,1.0
19,0,rs,sw4lite-A,1.0
20,0,rs,sw4lite-A,1.0
21,0,rs,sw4lite-A,1.0
22,0,rs,sw4lite-A,1.0
23,0,rs,sw4lite-A,1.0
24,0,rs,sw4lite-A,1.0
25,0,rs,sw4lite-A,1.0
26,0,rs,sw4lite-A,1.0
27,0,rs,sw4lite-A,1.0
28,0,rs,sw4lite-A,1.0
29,0,rs,sw4lite-A,1.0
30,0,rs,sw4lite-A,1.0
1,0,rs,miniamr-A,1.0
2,0,rs,miniamr-A,1.0
3,0,rs,miniamr-A,1.0
4,0,rs,miniamr-A,1.0
5,0,rs,miniamr-A,1.0
6,0,rs,miniamr-A,1.0
7,0,rs,miniamr-A,1.0
8,0,rs,miniamr-A,1.0
9,0,rs,miniamr-A,1.0
10,0,rs,miniamr-A,1.0
11,0,rs,miniamr-A,1.0
12,0,rs,miniamr-A,1.0
13,0,rs,miniamr-A,1.0
14,0,rs,miniamr-A,1.0
15,0,rs,miniamr-A,1.0
16,0,rs,miniamr-A,1.0
17,0,rs,miniamr-A,1.0
18,0,rs,miniamr-A,1.0
19,0,rs,miniamr-A,1.0
20,0,rs,miniamr-A,1.0
21,0,rs,miniamr-A,1.0
22,0,rs,miniamr-A,1.0
23,0,rs,miniamr-A,1.0
24,0,rs,miniamr-A,1.0
25,0,rs,miniamr-A,1.0
26,0,rs,miniamr-A,1.0
27,0,rs,miniamr-A,1.0
28,0,rs,miniamr-A,1.0
29,0,rs,miniamr-A,1.0
30,0,rs,miniamr-A,1.0
1,0,rs,swfft-C,1.0
2,0,rs,swfft-C,1.0
3,0,rs,swfft-C,1.0
4,0,rs,swfft-C,1.0
5,0,rs,swfft-C,1.0
6,0,rs,swfft-C,1.0
7,0,rs,swfft-C,1.0
8,0,rs,swfft-C,1.0
9,0,rs,swfft-C,1.0
10,0,rs,swfft-C,1.0
11,0,rs,swfft-C,1.0
12,0,rs,swfft-C,1.0
13,0,rs,swfft-C,1.0
14,0,rs,swfft-C,1.0
15,0,rs,swfft-C,1.0
16,0,rs,swfft-C,1.0
17,0,rs,swfft-C,1.0
18,0,rs,swfft-C,1.0
19,0,rs,swfft-C,1.0
20,0,rs,swfft-C,1.0
21,0,rs,swfft-C,1.0
22,0,rs,swfft-C,1.0
23,0,rs,swfft-C,1.0
24,0,rs,swfft-C,1.0
25,0,rs,swfft-C,1.0
26,0,rs,swfft-C,1.0
27,0,rs,swfft-C,1.0
28,0,rs,swfft-C,1.0
29,0,rs,swfft-C,1.0
30,0,rs,swfft-C,1.0
1,0,rs,ember-C,1.0
2,0,rs,ember-C,1.0
3,0,rs,ember-C,1.0
4,0,rs,ember-C,1.0
5,0,rs,ember-C,1.0
6,0,rs,ember-C,1.0
7,0,rs,ember-C,1.0
8,0,rs,ember-C,1.0
9,0,rs,ember-C,1.0
10,0,rs,ember-C,1.0
11,0,rs,ember-C,1.0
12,0,rs,ember-C,1.0
13,0,rs,ember-C,1.0
14,0,rs,ember-C,1.0
15,0,rs,ember-C,1.0
16,0,rs,ember-C,1.0
17,0,rs,ember-C,1.0
18,0,rs,ember-C,1.0
19,0,rs,ember-C,1.0
20,0,rs,ember-C,1.0
21,0,rs,ember-C,1.0
22,0,rs,ember-C,1.0
23,0,rs,ember-C,1.0
24,0,rs,ember-C,1.0
25,0,rs,ember-C,1.0
26,0,rs,ember-C,1.0
27,0,rs,ember-C,1.0
28,0,rs,ember-C,1.0
29,0,rs,ember-C,1.0
30,0,rs,ember-C,1.0
1,0,rs,miniqmc-A,1.0
2,0,rs,miniqmc-A,1.0
3,0,rs,miniqmc-A,1.0
4,0,rs,miniqmc-A,1.0
5,0,rs,miniqmc-A,1.0
6,0,rs,miniqmc-A,1.0
7,0,rs,miniqmc-A,1.0
8,0,rs,miniqmc-A,1.0
