date,app_name,input,cluster,total_time,ru_stime,rs_stime,maxrss,ixrss,idrss,minflt,majflt,nswap,inblock,oublock,msgsnd,msgrcv,nsignals,nvcsw,nivcsw,rxBytes,txBytes,rxPackets,txPackets,pi_5,pi_10,pi_15,total_pi
06-15-21-07:15:5,minivite,A,n1-highcpu-8-2,9.776518,8.256261,0.247050,17856,0,0,1816,25,0,1488,0,0,0,0,2392,2180,126519,93470,865,793,5.354146,9.702183,0,10
06-15-21-07:15:5,ember,A,n1-highcpu-8-2,53.693191,26.580516,26.072812,110984,0,0,8382,1,0,56,0,0,0,0,3265,7085,7987461256,7975631017,233967,232937,0.586868,0.948045,1.642391,1000
06-15-21-07:15:5,sw4lite,A,n1-highcpu-8-2,21.555537,19.815559,0.943217,131196,0,0,7532,9,0,1440,0,0,0,0,2456,46948,342162194,343495659,13261,15467,2.809244,4.895450,6.981305,50
06-15-21-07:15:5,ember,B,n1-highcpu-8-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-15-21-07:15:5,macsio,B,n1-highcpu-8-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-15-21-07:15:5,macsio,A,n1-highcpu-8-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-15-21-07:15:5,laghos,A,n1-highcpu-8-2,105.670085,48.023210,57.369607,24724,0,0,2209,0,0,0,0,0,0,0,2172,7679,876421833,836739444,7590618,7034995,0.668009,1.284893,1.905935,876
06-15-21-07:15:5,miniqmc,C,n1-highcpu-8-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-15-21-07:15:5,swfft,A,n1-highcpu-8-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-15-21-07:15:5,picsar,A,n1-highcpu-8-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-15-21-07:15:5,macsio,C,n1-highcpu-8-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-15-21-07:15:5,picsar,B,n1-highcpu-8-2,1.255846,0.467064,0.176173,23888,0,0,48471,0,0,8,0,0,0,0,2233,918,363931,18832,906,284,0.554101,0.587272,0.620586,101
06-15-21-07:15:5,laghos,B,n1-highcpu-8-2,192.865148,121.837982,70.077113,27692,0,0,3001,0,0,0,0,0,0,0,2150,23155,1997059187,1957219008,9688772,9135702,1.046273,2.056324,3.105391,1001
06-15-21-07:15:5,miniamr,A,n1-highcpu-8-2,283.516448,163.670339,117.498925,366352,0,0,88933,3,0,832,0,0,0,0,2271,72053,27384019793,27319015357,19909581,19480759,1.165344,1.309698,1.457271,10000
06-15-21-07:15:5,nekbone,A,n1-highcpu-8-2,82.917690,67.992301,12.762050,51228,0,0,83534,11,0,1200,0,0,0,0,2283,5982,6132036491,6125978533,1677401,1592713,1.227084,2.272458,3.684586,100
06-15-21-07:15:5,examinimd,B,n1-highcpu-8-2,20.691132,18.338746,1.700254,24424,0,0,4213,0,0,0,0,0,0,0,2276,4480,646597297,639730868,80047,71001,0.718652,0.827503,0.905943,1000
06-15-21-07:15:5,miniqmc,A,n1-highcpu-8-2,230.533164,104.491793,128.461868,245220,0,0,6650,14,0,1312,0,0,0,0,6902,82528760,991739,898270,4524,5207,25.081881,36.679995,48.036341,100
06-15-21-07:15:5,swfft,B,n1-highcpu-8-2,45.129197,25.109372,17.454857,21976,0,0,2779,3,0,296,0,0,0,0,2228,42715,16156086482,16150169808,2191109,2139058,0.848163,1.073702,1.306486,1000
06-15-21-07:15:5,laghos,C,n1-highcpu-8-2,233.260176,160.631871,71.507813,28292,0,0,3817,0,0,0,0,0,0,0,2207,24287,1802792398,1756011557,9165689,8507358,1.268610,2.495913,3.719673,1001
06-15-21-07:15:5,amg,A,n1-highcpu-8-2,138.809466,53.862470,84.038553,186148,0,0,56705,0,0,0,0,0,0,0,2224,24774,4201282826,4167766611,23482653,22884863,1.610324,2.796266,4.422547,1006
06-15-21-07:15:5,swfft,C,n1-highcpu-8-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-15-21-07:15:5,examinimd,C,n1-highcpu-8-2,94.235149,89.221928,3.779168,51772,0,0,7187,0,0,0,0,0,0,0,2252,5216,1630861299,1629315855,118098,107789,1.558523,1.987047,2.331664,1000
06-15-21-07:15:5,miniqmc,B,n1-highcpu-8-2,1305.323246,636.110668,669.369347,638156,0,0,39204,0,0,0,0,0,0,0,9658,376839383,2661846,3846534,11826,15002,97.830160,158.896008,223.282224,100
06-15-21-07:15:5,examinimd,A,n1-highcpu-8-2,3.271746,2.103117,0.663347,18360,0,0,2294,32,0,2576,0,0,0,0,2466,3015,178940207,177689665,37039,25487,0.591403,0.605187,0.616815,1000
