ite,target,bo,name,best
1,0,bo1,macsio-B,97291.60526315788
2,0,bo1,macsio-B,97291.60526315788
3,0,bo1,macsio-B,97291.60526315788
4,0,bo1,macsio-B,97291.60526315788
5,0,bo1,macsio-B,97291.60526315788
6,0,bo1,macsio-B,97291.60526315788
7,0,bo1,macsio-B,1180.3026315789473
8,0,bo1,macsio-B,755.7763157894736
9,0,bo1,macsio-B,755.7763157894736
10,0,bo1,macsio-B,1.0
11,0,bo1,macsio-B,1.0
12,0,bo1,macsio-B,1.0
13,0,bo1,macsio-B,1.0
14,0,bo1,macsio-B,1.0
15,0,bo1,macsio-B,1.0
16,0,bo1,macsio-B,1.0
17,0,bo1,macsio-B,1.0
18,0,bo1,macsio-B,1.0
19,0,bo1,macsio-B,1.0
20,0,bo1,macsio-B,1.0
21,0,bo1,macsio-B,1.0
22,0,bo1,macsio-B,1.0
23,0,bo1,macsio-B,1.0
24,0,bo1,macsio-B,1.0
25,0,bo1,macsio-B,1.0
26,0,bo1,macsio-B,1.0
27,0,bo1,macsio-B,1.0
28,0,bo1,macsio-B,1.0
29,0,bo1,macsio-B,1.0
30,0,bo1,macsio-B,1.0
1,0,bo1,miniqmc-B,37634.016176956095
2,0,bo1,miniqmc-B,37634.016176956095
3,0,bo1,miniqmc-B,37634.016176956095
4,0,bo1,miniqmc-B,788.8144602178937
5,0,bo1,miniqmc-B,788.8144602178937
6,0,bo1,miniqmc-B,788.8144602178937
7,0,bo1,miniqmc-B,251.1855397821063
8,0,bo1,miniqmc-B,251.1855397821063
9,0,bo1,miniqmc-B,251.1855397821063
10,0,bo1,miniqmc-B,251.1855397821063
11,0,bo1,miniqmc-B,251.1855397821063
12,0,bo1,miniqmc-B,251.1855397821063
13,0,bo1,miniqmc-B,251.1855397821063
14,0,bo1,miniqmc-B,251.1855397821063
15,0,bo1,miniqmc-B,251.1855397821063
16,0,bo1,miniqmc-B,251.1855397821063
17,0,bo1,miniqmc-B,135.77880488610103
18,0,bo1,miniqmc-B,135.77880488610103
19,0,bo1,miniqmc-B,135.77880488610103
20,0,bo1,miniqmc-B,25.183889072301092
21,0,bo1,miniqmc-B,25.183889072301092
22,0,bo1,miniqmc-B,25.183889072301092
23,0,bo1,miniqmc-B,15.453945196434466
24,0,bo1,miniqmc-B,7.9600528227137675
25,0,bo1,miniqmc-B,7.9600528227137675
26,0,bo1,miniqmc-B,7.9600528227137675
27,0,bo1,miniqmc-B,7.9600528227137675
28,0,bo1,miniqmc-B,7.9600528227137675
29,0,bo1,miniqmc-B,7.9600528227137675
