ite,target,bo,name,best
1,1,rs,picsar-A,1.7659574468085106
2,1,rs,picsar-A,6.378723404255319
3,1,rs,picsar-A,18.017021276595745
4,1,rs,picsar-A,23.421276595744683
5,1,rs,picsar-A,2798.472340425532
6,1,rs,picsar-A,5573.523404255319
7,1,rs,picsar-A,8348.574468085106
8,1,rs,picsar-A,8354.131914893616
9,1,rs,picsar-A,8358.319148936169
10,1,rs,picsar-A,11133.370212765956
11,1,rs,picsar-A,13908.421276595744
12,1,rs,picsar-A,13911.468085106382
13,1,rs,picsar-A,13918.787234042553
14,1,rs,picsar-A,13924.710638297873
15,1,rs,picsar-A,16699.76170212766
16,1,rs,picsar-A,16706.182978723406
17,1,rs,picsar-A,16714.957446808512
18,1,rs,picsar-A,16720.63829787234
19,1,rs,picsar-A,16729.31914893617
20,1,rs,picsar-A,16731.2
21,1,rs,picsar-A,16737.497872340427
22,1,rs,picsar-A,16743.680851063833
23,1,rs,picsar-A,19518.731914893622
24,1,rs,picsar-A,22293.782978723408
25,1,rs,picsar-A,22305.62127659575
26,1,rs,picsar-A,25080.67234042554
27,1,rs,picsar-A,27855.723404255325
28,1,rs,picsar-A,27863.02978723405
29,1,rs,picsar-A,27869.86808510639
30,1,rs,picsar-A,27869.86808510639
1,1,rs,amg-A,1.0
2,1,rs,amg-A,167.6039603960396
3,1,rs,amg-A,1547.4950495049504
4,1,rs,amg-A,1568.3960396039604
5,1,rs,amg-A,1718.2277227722773
6,1,rs,amg-A,40217.50495049505
7,1,rs,amg-A,122906.03960396041
8,1,rs,amg-A,122972.0891089109
9,1,rs,amg-A,123030.76237623765
10,1,rs,amg-A,123046.01980198022
11,1,rs,amg-A,123156.64356435646
12,1,rs,amg-A,123160.3069306931
13,1,rs,amg-A,123185.81188118814
14,1,rs,amg-A,123330.1386138614
15,1,rs,amg-A,123410.05940594061
16,1,rs,amg-A,123419.05940594061
17,1,rs,amg-A,123556.01980198022
18,1,rs,amg-A,123567.0891089109
19,1,rs,amg-A,123765.44554455447
20,1,rs,amg-A,123779.91089108912
21,1,rs,amg-A,123887.83168316833
22,1,rs,amg-A,123937.198019802
23,1,rs,amg-A,123943.89108910893
24,1,rs,amg-A,123946.70297029705
25,1,rs,amg-A,124141.06930693072
26,1,rs,amg-A,206829.60396039608
27,1,rs,amg-A,206859.11881188123
28,1,rs,amg-A,207312.396039604
29,1,rs,amg-A,290000.93069306936
30,1,rs,amg-A,290000.93069306936
1,1,rs,sw4lite-A,1.1076280041797284
2,1,rs,sw4lite-A,2.514629049111808
3,1,rs,sw4lite-A,4.1556948798328115
4,1,rs,sw4lite-A,6.278474399164055
5,1,rs,sw4lite-A,9.203239289446186
6,1,rs,sw4lite-A,56.85684430512017
7,1,rs,sw4lite-A,57.98432601880878
8,1,rs,sw4lite-A,58.98432601880878
9,1,rs,sw4lite-A,106.63793103448276
10,1,rs,sw4lite-A,108.39707419017765
11,1,rs,sw4lite-A,109.74660397074192
12,1,rs,sw4lite-A,111.52089864158832
13,1,rs,sw4lite-A,113.01149425287359
14,1,rs,sw4lite-A,114.7445141065831
15,1,rs,sw4lite-A,116.20062695924767
16,1,rs,sw4lite-A,117.89864158829678
17,1,rs,sw4lite-A,120.14002089864161
18,1,rs,sw4lite-A,121.80459770114945
19,1,rs,sw4lite-A,123.37095088819228
20,1,rs,sw4lite-A,125.32131661442008
21,1,rs,sw4lite-A,126.8646812957158
22,1,rs,sw4lite-A,128.4707419017764
23,1,rs,sw4lite-A,130.56426332288402
24,1,rs,sw4lite-A,132.4791013584117
25,1,rs,sw4lite-A,180.13270637408567
26,1,rs,sw4lite-A,182.02769070010447
27,1,rs,sw4lite-A,183.86938349007312
28,1,rs,sw4lite-A,185.73615464994774
29,1,rs,sw4lite-A,233.3897596656217
30,1,rs,sw4lite-A,233.3897596656217
1,1,rs,miniamr-A,1.0
2,1,rs,miniamr-A,119.72727272727273
3,1,rs,miniamr-A,932.0207792207792
4,1,rs,miniamr-A,956.4337662337663
5,1,rs,miniamr-A,1088.3584415584417
6,1,rs,miniamr-A,44604.280519480526
7,1,rs,miniamr-A,88120.20259740262
8,1,rs,miniamr-A,88168.57662337665
9,1,rs,miniamr-A,88208.69870129872
10,1,rs,miniamr-A,88224.84155844158
11,1,rs,miniamr-A,88300.5220779221
12,1,rs,miniamr-A,88304.62857142859
13,1,rs,miniamr-A,88333.54545454547
14,1,rs,miniamr-A,88433.24155844157
15,1,rs,miniamr-A,88484.57662337663
16,1,rs,miniamr-A,88494.81818181819
17,1,rs,miniamr-A,88580.93766233767
18,1,rs,miniamr-A,88593.74545454547
19,1,rs,miniamr-A,88728.70649350651
20,1,rs,miniamr-A,88738.79740259743
21,1,rs,miniamr-A,88805.46753246755
22,1,rs,miniamr-A,88841.60259740261
23,1,rs,miniamr-A,88848.52467532469
24,1,rs,miniamr-A,88851.90649350651
25,1,rs,miniamr-A,88982.80519480522
26,1,rs,miniamr-A,132498.7272727273
27,1,rs,miniamr-A,176014.6493506494
28,1,rs,miniamr-A,176300.89090909096
29,1,rs,miniamr-A,176353.38701298705
30,1,rs,miniamr-A,176353.38701298705
1,1,rs,swfft-C,1.0
2,1,rs,swfft-C,6.003874137768118
3,1,rs,swfft-C,11.007748275536237
4,1,rs,swfft-C,16.011622413304355
5,1,rs,swfft-C,21.015496551072474
6,1,rs,swfft-C,26.019370688840592
7,1,rs,swfft-C,31.02324482660871
8,1,rs,swfft-C,36.027118964376825
9,1,rs,swfft-C,38.49447226684305
10,1,rs,swfft-C,43.49834640461117
11,1,rs,swfft-C,48.50222054237929
12,1,rs,swfft-C,49.870830577341025
13,1,rs,swfft-C,54.87470471510915
14,1,rs,swfft-C,59.87857885287727
15,1,rs,swfft-C,64.88245299064539
16,1,rs,swfft-C,67.31777378815082
17,1,rs,swfft-C,72.32164792591894
18,1,rs,swfft-C,74.39950864594162
19,1,rs,swfft-C,79.40338278370974
20,1,rs,swfft-C,81.0013228763111
21,1,rs,swfft-C,86.00519701407922
22,1,rs,swfft-C,88.50713408296328
23,1,rs,swfft-C,89.59264858735712
24,1,rs,swfft-C,90.69252574884251
25,1,rs,swfft-C,95.69639988661064
26,1,rs,swfft-C,100.70027402437876
27,1,rs,swfft-C,102.19153359160921
28,1,rs,swfft-C,107.19540772937734
29,1,rs,swfft-C,112.19928186714546
30,1,rs,swfft-C,112.19928186714546
1,1,rs,ember-C,1.0
2,1,rs,ember-C,12196.466666666667
3,1,rs,ember-C,63531.53333333333
4,1,rs,ember-C,64219.13333333333
5,1,rs,ember-C,70184.66666666666
6,1,rs,ember-C,125354.26666666666
7,1,rs,ember-C,459205.1333333333
8,1,rs,ember-C,542599.2666666666
9,1,rs,ember-C,876450.1333333333
10,1,rs,ember-C,1210301.0
11,1,rs,ember-C,1544151.8666666667
12,1,rs,ember-C,1878002.7333333334
13,1,rs,ember-C,1941255.9333333333
14,1,rs,ember-C,2275106.8
15,1,rs,ember-C,2301191.4
16,1,rs,ember-C,2468116.8666666667
17,1,rs,ember-C,2502464.8
18,1,rs,ember-C,2836315.6666666665
19,1,rs,ember-C,3170166.533333333
20,1,rs,ember-C,3504017.4
21,1,rs,ember-C,3513361.533333333
22,1,rs,ember-C,3847212.4
23,1,rs,ember-C,3863851.0666666664
24,1,rs,ember-C,3878183.1333333333
25,1,rs,ember-C,4212034.0
26,1,rs,ember-C,4545884.866666666
27,1,rs,ember-C,4551247.533333333
28,1,rs,ember-C,4554802.333333333
29,1,rs,ember-C,4888653.199999999
30,1,rs,ember-C,4888653.199999999
1,1,rs,miniqmc-A,1.0
2,1,rs,miniqmc-A,8.713270142180095
3,1,rs,miniqmc-A,40.13507109004739
4,1,rs,miniqmc-A,99.14691943127963
5,1,rs,miniqmc-A,912.0521327014219
6,1,rs,miniqmc-A,58981.125592417055
7,1,rs,miniqmc-A,117050.1990521327
8,1,rs,miniqmc-A,117082.0260663507
9,1,rs,miniqmc-A,117085.83649289099
10,1,rs,miniqmc-A,117125.86966824644
11,1,rs,miniqmc-A,117138.55687203791
12,1,rs,miniqmc-A,117142.96682464455
13,1,rs,miniqmc-A,117212.92654028436
14,1,rs,miniqmc-A,117229.67061611374
15,1,rs,miniqmc-A,117253.03317535545
16,1,rs,miniqmc-A,117269.46208530806
17,1,rs,miniqmc-A,117309.47867298579
18,1,rs,miniqmc-A,117329.64928909953
19,1,rs,miniqmc-A,117352.28436018957
20,1,rs,miniqmc-A,117354.02132701421
21,1,rs,miniqmc-A,117383.87203791468
22,1,rs,miniqmc-A,117395.27251184834
23,1,rs,miniqmc-A,117406.23933649289
24,1,rs,miniqmc-A,117409.59952606635
25,1,rs,miniqmc-A,117468.02132701421
26,1,rs,miniqmc-A,175537.09478672984
27,1,rs,miniqmc-A,175543.91706161134
28,1,rs,miniqmc-A,175580.38151658763
29,1,rs,miniqmc-A,175785.0900473933
30,1,rs,miniqmc-A,175785.0900473933
1,1,rs,macsio-B,1.0
2,1,rs,macsio-B,15.105263157894736
3,1,rs,macsio-B,133.51315789473682
4,1,rs,macsio-B,157.59210526315786
5,1,rs,macsio-B,472.49999999999994
6,1,rs,macsio-B,12548.07894736842
7,1,rs,macsio-B,109839.68421052629
8,1,rs,macsio-B,109865.36842105261
9,1,rs,macsio-B,109869.46052631577
10,1,rs,macsio-B,109899.5789473684
11,1,rs,macsio-B,207191.1842105263
12,1,rs,macsio-B,207194.67105263154
13,1,rs,macsio-B,207226.7631578947
14,1,rs,macsio-B,207254.28947368416
15,1,rs,macsio-B,304545.894736842
16,1,rs,macsio-B,304553.74999999994
17,1,rs,macsio-B,304589.8026315789
18,1,rs,macsio-B,304599.53947368416
19,1,rs,macsio-B,304635.18421052623
20,1,rs,macsio-B,304637.0657894736
21,1,rs,macsio-B,304664.0394736841
22,1,rs,macsio-B,304672.7236842104
