ite,target,bo,name,best
1,0,bo1,macsio-B,97291.60526315788
2,0,bo1,macsio-B,194583.21052631576
3,0,bo1,macsio-B,291874.81578947365
4,0,bo1,macsio-B,389166.4210526315
5,0,bo1,macsio-B,486458.0263157894
6,0,bo1,macsio-B,583749.6315789473
7,0,bo1,macsio-B,584929.9342105263
8,0,bo1,macsio-B,585685.7105263157
9,0,bo1,macsio-B,586554.7763157894
10,0,bo1,macsio-B,586555.7763157894
11,0,bo1,macsio-B,586559.2631578947
12,0,bo1,macsio-B,586563.3552631579
13,0,bo1,macsio-B,683854.9605263157
14,0,bo1,macsio-B,683860.6315789473
15,0,bo1,macsio-B,683956.3026315789
16,0,bo1,macsio-B,781247.9078947367
17,0,bo1,macsio-B,781316.092105263
18,0,bo1,macsio-B,781374.2763157893
19,0,bo1,macsio-B,781450.1052631577
20,0,bo1,macsio-B,878741.7105263156
21,0,bo1,macsio-B,878797.0789473682
22,0,bo1,macsio-B,976088.6842105261
23,0,bo1,macsio-B,976091.3289473682
24,0,bo1,macsio-B,976164.6710526313
25,0,bo1,macsio-B,1073456.2763157892
26,0,bo1,macsio-B,1073463.2763157892
27,0,bo1,macsio-B,1170754.8815789472
28,0,bo1,macsio-B,1171519.7105263155
29,0,bo1,macsio-B,1171524.0526315786
30,0,bo1,macsio-B,1268815.6578947366
1,0,bo1,miniqmc-B,37634.016176956095
2,0,bo1,miniqmc-B,75268.03235391219
3,0,bo1,miniqmc-B,112902.04853086828
4,0,bo1,miniqmc-B,113690.86299108618
5,0,bo1,miniqmc-B,118031.72069990096
6,0,bo1,miniqmc-B,136848.72895345
7,0,bo1,miniqmc-B,137099.9144932321
8,0,bo1,miniqmc-B,138534.59722680753
9,0,bo1,miniqmc-B,176168.61340376362
10,0,bo1,miniqmc-B,213802.62958071972
11,0,bo1,miniqmc-B,251436.6457576758
12,0,bo1,miniqmc-B,251855.66490590957
13,0,bo1,miniqmc-B,289489.6810828657
14,0,bo1,miniqmc-B,327123.6972598218
15,0,bo1,miniqmc-B,327526.9270386267
16,0,bo1,miniqmc-B,365160.94321558275
17,0,bo1,miniqmc-B,365296.72202046885
18,0,bo1,miniqmc-B,365507.3215582701
19,0,bo1,miniqmc-B,403141.33773522615
20,0,bo1,miniqmc-B,403166.5216242984
21,0,bo1,miniqmc-B,440800.53780125454
22,0,bo1,miniqmc-B,440845.7263123143
23,0,bo1,miniqmc-B,440861.1802575107
24,0,bo1,miniqmc-B,440869.1403103334
25,0,bo1,miniqmc-B,440896.64311654004
26,0,bo1,miniqmc-B,440927.5199735886
27,0,bo1,miniqmc-B,440939.0554638494
28,0,bo1,miniqmc-B,440959.10729613726
29,0,bo1,miniqmc-B,440976.7698910531
30,0,bo1,miniqmc-B,440986.7091449323
1,0,bo1,miniamr-A,43515.922077922085
2,0,bo1,miniamr-A,87031.84415584417
3,0,bo1,miniamr-A,130547.76623376625
4,0,bo1,miniamr-A,131269.1168831169
5,0,bo1,miniamr-A,139472.25714285715
6,0,bo1,miniamr-A,182988.17922077925
7,0,bo1,miniamr-A,184020.62597402598
8,0,bo1,miniamr-A,227536.54805194808
9,0,bo1,miniamr-A,271052.47012987017
10,0,bo1,miniamr-A,271792.7116883117
11,0,bo1,miniamr-A,315308.6337662338
12,0,bo1,miniamr-A,358824.5558441559
13,0,bo1,miniamr-A,368336.0493506494
14,0,bo1,miniamr-A,368454.7766233767
15,0,bo1,miniamr-A,368521.4467532468
16,0,bo1,miniamr-A,368537.58961038967
17,0,bo1,miniamr-A,368613.27012987016
18,0,bo1,miniamr-A,368664.60519480525
19,0,bo1,miniamr-A,368677.41298701306
20,0,bo1,miniamr-A,368713.54805194814
21,0,bo1,miniamr-A,412229.4701298702
22,0,bo1,miniamr-A,412329.16623376636
23,0,bo1,miniamr-A,412353.57922077936
24,0,bo1,miniamr-A,412401.9532467534
25,0,bo1,miniamr-A,455917.87532467546
26,0,bo1,miniamr-A,499433.79740259756
27,0,bo1,miniamr-A,542949.7194805196
28,0,bo1,miniamr-A,543762.0129870132
29,0,bo1,miniamr-A,544197.9324675327
30,0,bo1,miniamr-A,544329.8571428574
1,0,bo1,picsar-B,1047.009009009009
2,0,bo1,picsar-B,2094.018018018018
3,0,bo1,picsar-B,3141.0270270270275
4,0,bo1,picsar-B,3148.720720720721
5,0,bo1,picsar-B,4195.72972972973
6,0,bo1,picsar-B,5242.738738738739
7,0,bo1,picsar-B,5311.9639639639645
8,0,bo1,picsar-B,6358.972972972973
9,0,bo1,picsar-B,6366.0270270270275
10,0,bo1,picsar-B,7413.036036036036
11,0,bo1,picsar-B,7471.927927927928
12,0,bo1,picsar-B,7478.783783783784
13,0,bo1,picsar-B,8525.792792792794
14,0,bo1,picsar-B,9572.801801801803
15,0,bo1,picsar-B,9620.315315315316
16,0,bo1,picsar-B,9680.207207207208
17,0,bo1,picsar-B,9765.603603603604
18,0,bo1,picsar-B,10812.612612612613
19,0,bo1,picsar-B,10831.315315315316
20,0,bo1,picsar-B,10855.117117117117
21,0,bo1,picsar-B,10879.55855855856
22,0,bo1,picsar-B,10901.036036036037
23,0,bo1,picsar-B,10923.351351351354
24,0,bo1,picsar-B,11970.360360360362
25,0,bo1,picsar-B,13017.369369369371
26,0,bo1,picsar-B,13025.324324324327
27,0,bo1,picsar-B,14072.333333333336
28,0,bo1,picsar-B,14101.252252252254
29,0,bo1,picsar-B,14129.504504504506
30,0,bo1,picsar-B,14176.405405405407
1,0,bo1,laghos-A,2799.15009380863
2,0,bo1,laghos-A,5598.30018761726
3,0,bo1,laghos-A,8397.45028142589
4,0,bo1,laghos-A,8482.788930581613
5,0,bo1,laghos-A,11281.939024390244
6,0,bo1,laghos-A,14081.089118198874
7,0,bo1,laghos-A,14124.938086303939
8,0,bo1,laghos-A,14176.173545966227
9,0,bo1,laghos-A,14209.754221388366
10,0,bo1,laghos-A,14211.95028142589
11,0,bo1,laghos-A,14212.95028142589
12,0,bo1,laghos-A,17012.10037523452
13,0,bo1,laghos-A,17017.037523452156
14,0,bo1,laghos-A,17041.439962476546
15,0,bo1,laghos-A,17054.39493433396
16,0,bo1,laghos-A,19853.545028142587
17,0,bo1,laghos-A,19854.737335834896
18,0,bo1,laghos-A,19861.9765478424
19,0,bo1,laghos-A,19863.22889305816
20,0,bo1,laghos-A,19865.525328330205
21,0,bo1,laghos-A,19968.60037523452
22,0,bo1,laghos-A,22767.750469043152
23,0,bo1,laghos-A,25566.900562851784
24,0,bo1,laghos-A,25645.643527204506
25,0,bo1,laghos-A,25665.403377110695
26,0,bo1,laghos-A,25683.96904315197
27,0,bo1,laghos-A,25881.66135084428
28,0,bo1,laghos-A,25883.162288930584
29,0,bo1,laghos-A,25885.15196998124
30,0,bo1,laghos-A,28684.302063789874
1,0,bo1,examinimd-B,31.4919587628866
2,0,bo1,examinimd-B,62.9839175257732
3,0,bo1,examinimd-B,94.4758762886598
4,0,bo1,examinimd-B,96.60907216494846
5,0,bo1,examinimd-B,109.86020618556702
6,0,bo1,examinimd-B,141.35216494845363
7,0,bo1,examinimd-B,143.50721649484538
8,0,bo1,examinimd-B,145.67793814432991
9,0,bo1,examinimd-B,147.33814432989692
10,0,bo1,examinimd-B,149.2313402061856
11,0,bo1,examinimd-B,150.70268041237117
12,0,bo1,examinimd-B,152.1232989690722
13,0,bo1,examinimd-B,153.41814432989696
14,0,bo1,examinimd-B,154.9529896907217
15,0,bo1,examinimd-B,156.85938144329901
16,0,bo1,examinimd-B,157.85938144329901
17,0,bo1,examinimd-B,158.93608247422685
18,0,bo1,examinimd-B,161.0070103092784
19,0,bo1,examinimd-B,162.8626804123712
20,0,bo1,examinimd-B,163.89402061855677
21,0,bo1,examinimd-B,166.29319587628873
22,0,bo1,examinimd-B,167.3826804123712
23,0,bo1,examinimd-B,198.8746391752578
24,0,bo1,examinimd-B,200.69567010309285
25,0,bo1,examinimd-B,202.16371134020625
26,0,bo1,examinimd-B,203.25360824742273
27,0,bo1,examinimd-B,234.74556701030934
28,0,bo1,examinimd-B,235.93360824742274
29,0,bo1,examinimd-B,240.28907216494852
30,0,bo1,examinimd-B,271.7810309278351
1,0,bo1,laghos-B,1344.7276036162966
2,0,bo1,laghos-B,2689.4552072325932
3,0,bo1,laghos-B,4034.18281084889
4,0,bo1,laghos-B,4046.6654925443227
5,0,bo1,laghos-B,5391.393096160619
6,0,bo1,laghos-B,6736.120699776916
7,0,bo1,laghos-B,6743.491605025243
8,0,bo1,laghos-B,8088.21920864154
9,0,bo1,laghos-B,8110.440648115533
10,0,bo1,laghos-B,9455.16825173183
11,0,bo1,laghos-B,9468.41035575907
12,0,bo1,laghos-B,10813.137959375366
13,0,bo1,laghos-B,12157.865562991663
14,0,bo1,laghos-B,12174.525537160971
15,0,bo1,laghos-B,12184.616883879298
16,0,bo1,laghos-B,12187.116120699775
17,0,bo1,laghos-B,13531.843724316072
18,0,bo1,laghos-B,13535.04755195491
19,0,bo1,laghos-B,13538.399553833508
20,0,bo1,laghos-B,13541.226370787834
21,0,bo1,laghos-B,13542.39826229893
22,0,bo1,laghos-B,13544.87601268052
23,0,bo1,laghos-B,13547.061054361862
24,0,bo1,laghos-B,13549.09146413056
25,0,bo1,laghos-B,14893.819067746857
26,0,bo1,laghos-B,14895.543501232827
27,0,bo1,laghos-B,16240.271104849124
28,0,bo1,laghos-B,16242.212163907478
29,0,bo1,laghos-B,16247.659974169306
30,0,bo1,laghos-B,16251.818715510153
1,0,bo1,ember-C,333850.86666666664
2,0,bo1,ember-C,667701.7333333333
3,0,bo1,ember-C,1001552.5999999999
4,0,bo1,ember-C,1335403.4666666666
5,0,bo1,ember-C,1669254.3333333333
6,0,bo1,ember-C,2003105.2
7,0,bo1,ember-C,2020066.4
8,0,bo1,ember-C,2040156.7999999998
9,0,bo1,ember-C,2051882.0666666664
10,0,bo1,ember-C,2064610.1999999997
11,0,bo1,ember-C,2064611.1999999997
12,0,bo1,ember-C,2064723.7333333332
13,0,bo1,ember-C,2398574.5999999996
14,0,bo1,ember-C,2400471.266666666
15,0,bo1,ember-C,2408696.3999999994
16,0,bo1,ember-C,2742547.266666666
17,0,bo1,ember-C,2747909.9333333327
18,0,bo1,ember-C,3081760.7999999993
19,0,bo1,ember-C,3083359.7333333325
20,0,bo1,ember-C,3417210.599999999
21,0,bo1,ember-C,3423176.1333333324
22,0,bo1,ember-C,3474511.1999999993
23,0,bo1,ember-C,3479778.7333333325
24,0,bo1,ember-C,3479911.8666666658
25,0,bo1,ember-C,3813762.7333333325
26,0,bo1,ember-C,3823106.8666666658
27,0,bo1,ember-C,3833799.7333333325
28,0,bo1,ember-C,4167650.599999999
29,0,bo1,ember-C,4171055.999999999
30,0,bo1,ember-C,4208823.133333333
1,0,bo1,swfft-B,11.51236749116608
2,0,bo1,swfft-B,23.02473498233216
3,0,bo1,swfft-B,34.53710247349824
4,0,bo1,swfft-B,46.04946996466432
5,0,bo1,swfft-B,57.5618374558304
6,0,bo1,swfft-B,69.07420494699647
7,0,bo1,swfft-B,80.58657243816255
8,0,bo1,swfft-B,92.09893992932862
9,0,bo1,swfft-B,103.6113074204947
10,0,bo1,swfft-B,104.6113074204947
11,0,bo1,swfft-B,105.9434628975265
12,0,bo1,swfft-B,108.48920298390263
13,0,bo1,swfft-B,110.02787593246957
14,0,bo1,swfft-B,112.08323517864153
15,0,bo1,swfft-B,114.38319591676482
16,0,bo1,swfft-B,116.86729485669414
17,0,bo1,swfft-B,128.37966234786023
18,0,bo1,swfft-B,131.97369454259913
19,0,bo1,swfft-B,133.95956026698076
20,0,bo1,swfft-B,137.7224185316058
21,0,bo1,swfft-B,149.23478602277189
22,0,bo1,swfft-B,151.5649784059678
23,0,bo1,swfft-B,153.98154691794267
24,0,bo1,swfft-B,155.13741656851195
25,0,bo1,swfft-B,156.60345504515112
26,0,bo1,swfft-B,158.52453867294852
27,0,bo1,swfft-B,162.07224185316053
28,0,bo1,swfft-B,173.58460934432662
29,0,bo1,swfft-B,185.0969768354927
30,0,bo1,swfft-B,187.03965449548485
1,0,bo1,picsar-A,2775.0510638297874
2,0,bo1,picsar-A,5550.102127659575
3,0,bo1,picsar-A,8325.153191489362
4,0,bo1,picsar-A,11100.20425531915
5,0,bo1,picsar-A,13875.255319148937
6,0,bo1,picsar-A,16650.306382978724
7,0,bo1,picsar-A,19425.357446808513
8,0,bo1,picsar-A,22200.4085106383
9,0,bo1,picsar-A,24975.459574468085
10,0,bo1,picsar-A,24987.097872340426
11,0,bo1,picsar-A,25001.297872340427
12,0,bo1,picsar-A,27776.348936170216
13,0,bo1,picsar-A,27790.72340425532
14,0,bo1,picsar-A,30565.77446808511
15,0,bo1,picsar-A,30582.280851063835
16,0,bo1,picsar-A,30599.429787234047
17,0,bo1,picsar-A,30608.204255319153
18,0,bo1,picsar-A,33383.25531914894
19,0,bo1,picsar-A,33391.93617021277
20,0,bo1,picsar-A,33399.25531914894
21,0,bo1,picsar-A,36174.30638297873
22,0,bo1,picsar-A,36176.187234042554
23,0,bo1,picsar-A,36179.234042553195
24,0,bo1,picsar-A,38954.28510638298
25,0,bo1,picsar-A,38957.10212765958
26,0,bo1,picsar-A,41732.153191489364
27,0,bo1,picsar-A,44507.20425531915
28,0,bo1,picsar-A,44513.77021276596
29,0,bo1,picsar-A,44520.47659574468
30,0,bo1,picsar-A,44527.1829787234
1,0,bo1,ember-B,221486.99999999997
2,0,bo1,ember-B,442973.99999999994
3,0,bo1,ember-B,664460.9999999999
4,0,bo1,ember-B,885947.9999999999
5,0,bo1,ember-B,906756.0999999999
6,0,bo1,ember-B,1017499.5999999999
7,0,bo1,ember-B,1049664.7
8,0,bo1,ember-B,1271151.7
9,0,bo1,ember-B,1288971.9
10,0,bo1,ember-B,1510458.9
11,0,bo1,ember-B,1513357.7999999998
12,0,bo1,ember-B,1513894.2999999998
13,0,bo1,ember-B,1515283.2999999998
14,0,bo1,ember-B,1516260.4
15,0,bo1,ember-B,1737747.4
16,0,bo1,ember-B,1741060.0
17,0,bo1,ember-B,1741601.9
18,0,bo1,ember-B,1744878.4
19,0,bo1,ember-B,1751813.7
20,0,bo1,ember-B,1973300.7
21,0,bo1,ember-B,1974320.3
22,0,bo1,ember-B,1974321.3
23,0,bo1,ember-B,1974841.5
24,0,bo1,ember-B,2196328.5
25,0,bo1,ember-B,2417815.5
26,0,bo1,ember-B,2418902.1
27,0,bo1,ember-B,2420926.5
28,0,bo1,ember-B,2420972.1
29,0,bo1,ember-B,2430502.1
30,0,bo1,ember-B,2651989.1
1,0,bo1,swfft-A,11.012552301255228
2,0,bo1,swfft-A,22.025104602510456
3,0,bo1,swfft-A,33.037656903765686
4,0,bo1,swfft-A,44.05020920502091
5,0,bo1,swfft-A,55.06276150627614
6,0,bo1,swfft-A,66.07531380753137
7,0,bo1,swfft-A,77.0878661087866
8,0,bo1,swfft-A,88.10041841004183
9,0,bo1,swfft-A,99.11297071129705
10,0,bo1,swfft-A,110.12552301255228
11,0,bo1,swfft-A,121.1380753138075
12,0,bo1,swfft-A,132.15062761506275
13,0,bo1,swfft-A,134.5523012552301
14,0,bo1,swfft-A,135.5523012552301
15,0,bo1,swfft-A,137.78661087866107
16,0,bo1,swfft-A,148.7991631799163
17,0,bo1,swfft-A,150.6820083682008
18,0,bo1,swfft-A,161.69456066945602
19,0,bo1,swfft-A,172.70711297071125
20,0,bo1,swfft-A,174.15481171548112
21,0,bo1,swfft-A,185.16736401673634
22,0,bo1,swfft-A,190.67364016736397
23,0,bo1,swfft-A,196.0627615062761
24,0,bo1,swfft-A,197.1046025104602
25,0,bo1,swfft-A,200.29288702928866
26,0,bo1,swfft-A,211.3054393305439
27,0,bo1,swfft-A,212.71129707112968
28,0,bo1,swfft-A,214.53974895397488
29,0,bo1,swfft-A,225.5523012552301
30,0,bo1,swfft-A,236.56485355648533
1,0,bo1,sw4lite-A,47.65360501567398
2,0,bo1,sw4lite-A,95.30721003134796
3,0,bo1,sw4lite-A,142.96081504702195
4,0,bo1,sw4lite-A,145.60919540229887
5,0,bo1,sw4lite-A,152.3573667711599
6,0,bo1,sw4lite-A,176.18390804597703
7,0,bo1,sw4lite-A,178.52246603970744
8,0,bo1,sw4lite-A,184.67659352142113
9,0,bo1,sw4lite-A,232.3301985370951
10,0,bo1,sw4lite-A,279.9838035527691
11,0,bo1,sw4lite-A,327.63740856844305
12,0,bo1,sw4lite-A,329.73354231974923
13,0,bo1,sw4lite-A,377.3871473354232
14,0,bo1,sw4lite-A,425.0407523510972
15,0,bo1,sw4lite-A,427.350052246604
16,0,bo1,sw4lite-A,429.72884012539186
17,0,bo1,sw4lite-A,431.0783699059561
18,0,bo1,sw4lite-A,432.83751306165095
19,0,bo1,sw4lite-A,434.57053291536045
