ite,target,bo,name,best
1,0,bo4,kripke-A,1.1228406909788868
2,0,bo4,kripke-A,1.1228406909788868
3,0,bo4,kripke-A,1.1228406909788868
4,0,bo4,kripke-A,1.1228406909788868
5,0,bo4,kripke-A,1.1228406909788868
6,0,bo4,kripke-A,1.1228406909788868
7,0,bo4,kripke-A,1.1228406909788868
8,0,bo4,kripke-A,1.1228406909788868
9,0,bo4,kripke-A,1.1228406909788868
10,0,bo4,kripke-A,1.1228406909788868
11,0,bo4,kripke-A,1.1228406909788868
12,0,bo4,kripke-A,1.1228406909788868
13,0,bo4,kripke-A,1.1228406909788868
14,0,bo4,kripke-A,1.1228406909788868
15,0,bo4,kripke-A,1.1228406909788868
16,0,bo4,kripke-A,1.1228406909788868
17,0,bo4,kripke-A,1.1228406909788868
18,0,bo4,kripke-A,1.1228406909788868
19,0,bo4,kripke-A,1.1228406909788868
20,0,bo4,kripke-A,1.1228406909788868
21,0,bo4,kripke-A,1.1228406909788868
22,0,bo4,kripke-A,1.1228406909788868
23,0,bo4,kripke-A,1.1228406909788868
24,0,bo4,kripke-A,1.1228406909788868
25,0,bo4,kripke-A,1.1228406909788868
26,0,bo4,kripke-A,1.1228406909788868
27,0,bo4,kripke-A,1.1228406909788868
28,0,bo4,kripke-A,1.1228406909788868
29,0,bo4,kripke-A,1.1228406909788868
30,0,bo4,kripke-A,1.1228406909788868
1,0,bo4,CG-B,24.12422840468382
2,0,bo4,CG-B,1.0108490977790525
3,0,bo4,CG-B,1.0108490977790525
4,0,bo4,CG-B,1.0108490977790525
5,0,bo4,CG-B,1.0108490977790525
6,0,bo4,CG-B,1.0108490977790525
7,0,bo4,CG-B,1.0108490977790525
8,0,bo4,CG-B,1.0108490977790525
9,0,bo4,CG-B,1.0108490977790525
10,0,bo4,CG-B,1.0108490977790525
11,0,bo4,CG-B,1.0108490977790525
12,0,bo4,CG-B,1.0108490977790525
13,0,bo4,CG-B,1.0108490977790525
14,0,bo4,CG-B,1.0108490977790525
15,0,bo4,CG-B,1.0108490977790525
16,0,bo4,CG-B,1.0108490977790525
17,0,bo4,CG-B,1.0108490977790525
18,0,bo4,CG-B,1.0108490977790525
19,0,bo4,CG-B,1.0108490977790525
20,0,bo4,CG-B,1.0108490977790525
21,0,bo4,CG-B,1.0108490977790525
22,0,bo4,CG-B,1.0108490977790525
23,0,bo4,CG-B,1.0108490977790525
24,0,bo4,CG-B,1.0108490977790525
25,0,bo4,CG-B,1.0108490977790525
26,0,bo4,CG-B,1.0108490977790525
27,0,bo4,CG-B,1.0
28,0,bo4,CG-B,1.0
29,0,bo4,CG-B,1.0
30,0,bo4,CG-B,1.0
1,0,bo4,examl-B,1.0
2,0,bo4,examl-B,1.0
3,0,bo4,examl-B,1.0
4,0,bo4,examl-B,1.0
5,0,bo4,examl-B,1.0
6,0,bo4,examl-B,1.0
7,0,bo4,examl-B,1.0
8,0,bo4,examl-B,1.0
9,0,bo4,examl-B,1.0
10,0,bo4,examl-B,1.0
11,0,bo4,examl-B,1.0
12,0,bo4,examl-B,1.0
13,0,bo4,examl-B,1.0
14,0,bo4,examl-B,1.0
15,0,bo4,examl-B,1.0
16,0,bo4,examl-B,1.0
17,0,bo4,examl-B,1.0
18,0,bo4,examl-B,1.0
19,0,bo4,examl-B,1.0
20,0,bo4,examl-B,1.0
21,0,bo4,examl-B,1.0
22,0,bo4,examl-B,1.0
23,0,bo4,examl-B,1.0
24,0,bo4,examl-B,1.0
25,0,bo4,examl-B,1.0
26,0,bo4,examl-B,1.0
27,0,bo4,examl-B,1.0
28,0,bo4,examl-B,1.0
29,0,bo4,examl-B,1.0
30,0,bo4,examl-B,1.0
1,0,bo4,EP-A,1.1885982038266303
2,0,bo4,EP-A,1.1885982038266303
3,0,bo4,EP-A,1.1885982038266303
4,0,bo4,EP-A,1.1885982038266303
5,0,bo4,EP-A,1.1885982038266303
6,0,bo4,EP-A,1.1885982038266303
7,0,bo4,EP-A,1.0519328387348692
8,0,bo4,EP-A,1.0519328387348692
9,0,bo4,EP-A,1.0519328387348692
10,0,bo4,EP-A,1.0519328387348692
11,0,bo4,EP-A,1.0519328387348692
12,0,bo4,EP-A,1.0519328387348692
13,0,bo4,EP-A,1.0519328387348692
14,0,bo4,EP-A,1.0519328387348692
15,0,bo4,EP-A,1.0519328387348692
16,0,bo4,EP-A,1.0519328387348692
17,0,bo4,EP-A,1.0519328387348692
18,0,bo4,EP-A,1.0519328387348692
19,0,bo4,EP-A,1.0519328387348692
20,0,bo4,EP-A,1.0519328387348692
21,0,bo4,EP-A,1.0
22,0,bo4,EP-A,1.0
23,0,bo4,EP-A,1.0
24,0,bo4,EP-A,1.0
25,0,bo4,EP-A,1.0
26,0,bo4,EP-A,1.0
27,0,bo4,EP-A,1.0
28,0,bo4,EP-A,1.0
29,0,bo4,EP-A,1.0
30,0,bo4,EP-A,1.0
1,0,bo4,Quicksilver-A,1.0
2,0,bo4,Quicksilver-A,1.0
3,0,bo4,Quicksilver-A,1.0
4,0,bo4,Quicksilver-A,1.0
5,0,bo4,Quicksilver-A,1.0
6,0,bo4,Quicksilver-A,1.0
7,0,bo4,Quicksilver-A,1.0
8,0,bo4,Quicksilver-A,1.0
9,0,bo4,Quicksilver-A,1.0
10,0,bo4,Quicksilver-A,1.0
11,0,bo4,Quicksilver-A,1.0
12,0,bo4,Quicksilver-A,1.0
13,0,bo4,Quicksilver-A,1.0
14,0,bo4,Quicksilver-A,1.0
15,0,bo4,Quicksilver-A,1.0
16,0,bo4,Quicksilver-A,1.0
17,0,bo4,Quicksilver-A,1.0
18,0,bo4,Quicksilver-A,1.0
19,0,bo4,Quicksilver-A,1.0
20,0,bo4,Quicksilver-A,1.0
21,0,bo4,Quicksilver-A,1.0
22,0,bo4,Quicksilver-A,1.0
23,0,bo4,Quicksilver-A,1.0
24,0,bo4,Quicksilver-A,1.0
25,0,bo4,Quicksilver-A,1.0
26,0,bo4,Quicksilver-A,1.0
27,0,bo4,Quicksilver-A,1.0
28,0,bo4,Quicksilver-A,1.0
29,0,bo4,Quicksilver-A,1.0
30,0,bo4,Quicksilver-A,1.0
1,0,bo4,LULESH-B,1.0
2,0,bo4,LULESH-B,1.0
3,0,bo4,LULESH-B,1.0
4,0,bo4,LULESH-B,1.0
5,0,bo4,LULESH-B,1.0
