ite,target,bo,name,best
1,0,bo1,EP-C,0.791724
2,0,bo1,EP-C,1.7928289999999998
3,0,bo1,EP-C,2.810936
4,0,bo1,EP-C,4.0160979999999995
5,0,bo1,EP-C,5.059892
6,0,bo1,EP-C,6.0210609999999996
7,0,bo1,EP-C,6.7528369999999995
8,0,bo1,EP-C,7.998417999999999
9,0,bo1,EP-C,8.952988999999999
10,0,bo1,EP-C,9.729937
11,0,bo1,EP-C,10.606325
12,0,bo1,EP-C,11.632484
13,0,bo1,EP-C,12.471512
14,0,bo1,EP-C,13.269375
15,0,bo1,EP-C,14.784389000000001
16,0,bo1,EP-C,16.144773
17,0,bo1,EP-C,17.007847
18,0,bo1,EP-C,17.966248
19,0,bo1,EP-C,18.697652
20,0,bo1,EP-C,19.897755
21,0,bo1,EP-C,20.95571
22,0,bo1,EP-C,22.264867
23,0,bo1,EP-C,26.078879999999998
24,0,bo1,EP-C,27.317068999999996
25,0,bo1,EP-C,28.206438999999996
26,0,bo1,EP-C,29.240824999999997
27,0,bo1,EP-C,30.673816
28,0,bo1,EP-C,31.555581999999998
29,0,bo1,EP-C,32.43817
30,0,bo1,EP-C,32.43817
1,0,bo1,BT-A,0.040711
2,0,bo1,BT-A,0.064764
3,0,bo1,BT-A,0.098955
4,0,bo1,BT-A,0.130022
5,0,bo1,BT-A,0.178028
6,0,bo1,BT-A,0.204127
7,0,bo1,BT-A,0.222246
8,0,bo1,BT-A,0.265868
9,0,bo1,BT-A,0.282566
10,0,bo1,BT-A,0.308033
11,0,bo1,BT-A,0.344922
12,0,bo1,BT-A,0.374377
13,0,bo1,BT-A,0.42185300000000003
14,0,bo1,BT-A,0.7546980000000001
15,0,bo1,BT-A,0.7851260000000001
16,0,bo1,BT-A,0.8192010000000001
17,0,bo1,BT-A,0.843392
18,0,bo1,BT-A,0.885723
19,0,bo1,BT-A,0.906247
20,0,bo1,BT-A,0.9310200000000001
21,0,bo1,BT-A,0.9635220000000001
22,0,bo1,BT-A,0.9987420000000001
23,0,bo1,BT-A,1.0436740000000002
24,0,bo1,BT-A,1.0650130000000002
25,0,bo1,BT-A,1.1152160000000002
26,0,bo1,BT-A,1.1353990000000003
27,0,bo1,BT-A,1.1604420000000002
28,0,bo1,BT-A,1.1999540000000002
29,0,bo1,BT-A,1.2211990000000001
30,0,bo1,BT-A,1.2211990000000001
1,0,bo1,CG-B,0.244965
2,0,bo1,CG-B,4.114057
3,0,bo1,CG-B,4.479932
4,0,bo1,CG-B,4.787235
5,0,bo1,CG-B,5.000711
6,0,bo1,CG-B,5.284326
7,0,bo1,CG-B,5.510779
8,0,bo1,CG-B,5.7243960000000005
9,0,bo1,CG-B,5.927085000000001
10,0,bo1,CG-B,6.165013000000001
11,0,bo1,CG-B,10.034105
12,0,bo1,CG-B,10.413816
13,0,bo1,CG-B,10.593661
14,0,bo1,CG-B,11.006067000000002
15,0,bo1,CG-B,11.247962000000001
16,0,bo1,CG-B,11.488840000000001
17,0,bo1,CG-B,13.423386
18,0,bo1,CG-B,13.645776000000001
19,0,bo1,CG-B,13.936437000000002
20,0,bo1,CG-B,14.691649000000002
21,0,bo1,CG-B,15.025267000000001
22,0,bo1,CG-B,18.894359
23,0,bo1,CG-B,19.158913000000002
24,0,bo1,CG-B,19.438361
25,0,bo1,CG-B,19.758125
26,0,bo1,CG-B,19.948328
27,0,bo1,CG-B,20.218352
28,0,bo1,CG-B,24.087443999999998
29,0,bo1,CG-B,24.308991999999996
30,0,bo1,CG-B,24.308991999999996
1,0,bo1,kripke-C,0.038862
2,0,bo1,kripke-C,0.077069
3,0,bo1,kripke-C,0.17296899999999998
4,0,bo1,kripke-C,0.26886899999999997
5,0,bo1,kripke-C,0.36476899999999995
6,0,bo1,kripke-C,0.46066899999999994
7,0,bo1,kripke-C,0.556569
8,0,bo1,kripke-C,0.579932
9,0,bo1,kripke-C,0.614455
10,0,bo1,kripke-C,0.647355
11,0,bo1,kripke-C,0.691192
12,0,bo1,kripke-C,0.7361340000000001
13,0,bo1,kripke-C,0.7620840000000001
14,0,bo1,kripke-C,0.7880330000000001
15,0,bo1,kripke-C,0.8839330000000001
16,0,bo1,kripke-C,0.9798330000000001
17,0,bo1,kripke-C,1.075733
18,0,bo1,kripke-C,1.1716330000000001
19,0,bo1,kripke-C,1.2675330000000002
20,0,bo1,kripke-C,1.2939320000000003
21,0,bo1,kripke-C,1.3898320000000004
22,0,bo1,kripke-C,1.4857320000000005
23,0,bo1,kripke-C,1.5816320000000006
24,0,bo1,kripke-C,1.6775320000000007
25,0,bo1,kripke-C,1.7214680000000007
26,0,bo1,kripke-C,1.7446260000000007
27,0,bo1,kripke-C,1.8405260000000008
28,0,bo1,kripke-C,1.9364260000000009
29,0,bo1,kripke-C,1.9764970000000008
30,0,bo1,kripke-C,1.9764970000000008
1,0,bo1,examl-A,0.004856
2,0,bo1,examl-A,8.608284
3,0,bo1,examl-A,17.211712
4,0,bo1,examl-A,17.397759999999998
5,0,bo1,examl-A,17.408428999999998
6,0,bo1,examl-A,17.540291999999997
7,0,bo1,examl-A,17.582677999999998
8,0,bo1,examl-A,17.650758999999997
9,0,bo1,examl-A,17.693296999999998
10,0,bo1,examl-A,26.296724999999995
11,0,bo1,examl-A,26.327432999999996
12,0,bo1,examl-A,26.351534999999995
13,0,bo1,examl-A,26.466253999999996
14,0,bo1,examl-A,26.476376999999996
15,0,bo1,examl-A,26.529277999999994
16,0,bo1,examl-A,26.697767999999993
17,0,bo1,examl-A,26.721065999999993
18,0,bo1,examl-A,26.722328999999995
19,0,bo1,examl-A,26.723392999999994
20,0,bo1,examl-A,26.766836999999995
21,0,bo1,examl-A,26.780582999999996
22,0,bo1,examl-A,35.384010999999994
23,0,bo1,examl-A,35.46612
24,0,bo1,examl-A,35.514112999999995
25,0,bo1,examl-A,35.516282999999994
26,0,bo1,examl-A,35.65799799999999
