ite,target,bo,name,best
1,0,bo4,CG-B,24.12422840468382
2,0,bo4,CG-B,1.0108490977790525
3,0,bo4,CG-B,1.0108490977790525
4,0,bo4,CG-B,1.0108490977790525
5,0,bo4,CG-B,1.0108490977790525
6,0,bo4,CG-B,1.0108490977790525
7,0,bo4,CG-B,1.0108490977790525
8,0,bo4,CG-B,1.0108490977790525
9,0,bo4,CG-B,1.0108490977790525
10,0,bo4,CG-B,1.0108490977790525
11,0,bo4,CG-B,1.0108490977790525
12,0,bo4,CG-B,1.0108490977790525
13,0,bo4,CG-B,1.0108490977790525
14,0,bo4,CG-B,1.0108490977790525
15,0,bo4,CG-B,1.0108490977790525
16,0,bo4,CG-B,1.0108490977790525
17,0,bo4,CG-B,1.0108490977790525
18,0,bo4,CG-B,1.0108490977790525
19,0,bo4,CG-B,1.0108490977790525
20,0,bo4,CG-B,1.0108490977790525
21,0,bo4,CG-B,1.0108490977790525
22,0,bo4,CG-B,1.0108490977790525
23,0,bo4,CG-B,1.0108490977790525
24,0,bo4,CG-B,1.0108490977790525
25,0,bo4,CG-B,1.0108490977790525
26,0,bo4,CG-B,1.0108490977790525
27,0,bo4,CG-B,1.0108490977790525
28,0,bo4,CG-B,1.0108490977790525
29,0,bo4,CG-B,1.0108490977790525
30,0,bo4,CG-B,1.0108490977790525
1,0,bo4,examl-A,1.0
2,0,bo4,examl-A,1.0
3,0,bo4,examl-A,1.0
4,0,bo4,examl-A,1.0
5,0,bo4,examl-A,1.0
6,0,bo4,examl-A,1.0
7,0,bo4,examl-A,1.0
8,0,bo4,examl-A,1.0
9,0,bo4,examl-A,1.0
10,0,bo4,examl-A,1.0
11,0,bo4,examl-A,1.0
12,0,bo4,examl-A,1.0
13,0,bo4,examl-A,1.0
14,0,bo4,examl-A,1.0
15,0,bo4,examl-A,1.0
16,0,bo4,examl-A,1.0
17,0,bo4,examl-A,1.0
18,0,bo4,examl-A,1.0
19,0,bo4,examl-A,1.0
20,0,bo4,examl-A,1.0
21,0,bo4,examl-A,1.0
22,0,bo4,examl-A,1.0
23,0,bo4,examl-A,1.0
24,0,bo4,examl-A,1.0
25,0,bo4,examl-A,1.0
26,0,bo4,examl-A,1.0
27,0,bo4,examl-A,1.0
28,0,bo4,examl-A,1.0
29,0,bo4,examl-A,1.0
30,0,bo4,examl-A,1.0
1,0,bo4,BT-A,1.0
2,0,bo4,BT-A,1.0
3,0,bo4,BT-A,1.0
4,0,bo4,BT-A,1.0
5,0,bo4,BT-A,1.0
6,0,bo4,BT-A,1.0
7,0,bo4,BT-A,1.0
8,0,bo4,BT-A,1.0
9,0,bo4,BT-A,1.0
10,0,bo4,BT-A,1.0
11,0,bo4,BT-A,1.0
12,0,bo4,BT-A,1.0
13,0,bo4,BT-A,1.0
14,0,bo4,BT-A,1.0
15,0,bo4,BT-A,1.0
16,0,bo4,BT-A,1.0
17,0,bo4,BT-A,1.0
18,0,bo4,BT-A,1.0
19,0,bo4,BT-A,1.0
20,0,bo4,BT-A,1.0
21,0,bo4,BT-A,1.0
22,0,bo4,BT-A,1.0
23,0,bo4,BT-A,1.0
24,0,bo4,BT-A,1.0
25,0,bo4,BT-A,1.0
26,0,bo4,BT-A,1.0
27,0,bo4,BT-A,1.0
28,0,bo4,BT-A,1.0
29,0,bo4,BT-A,1.0
30,0,bo4,BT-A,1.0
1,0,bo4,kripke-C,1.1157255733281943
2,0,bo4,kripke-C,1.1157255733281943
3,0,bo4,kripke-C,1.1157255733281943
4,0,bo4,kripke-C,1.1157255733281943
5,0,bo4,kripke-C,1.1157255733281943
6,0,bo4,kripke-C,1.1157255733281943
7,0,bo4,kripke-C,1.1157255733281943
8,0,bo4,kripke-C,1.1157255733281943
9,0,bo4,kripke-C,1.1157255733281943
10,0,bo4,kripke-C,1.1157255733281943
11,0,bo4,kripke-C,1.1157255733281943
12,0,bo4,kripke-C,1.1157255733281943
13,0,bo4,kripke-C,1.1157255733281943
14,0,bo4,kripke-C,1.1157255733281943
15,0,bo4,kripke-C,1.1157255733281943
16,0,bo4,kripke-C,1.1157255733281943
17,0,bo4,kripke-C,1.1157255733281943
18,0,bo4,kripke-C,1.1157255733281943
19,0,bo4,kripke-C,1.1157255733281943
20,0,bo4,kripke-C,1.1157255733281943
21,0,bo4,kripke-C,1.1157255733281943
22,0,bo4,kripke-C,1.1157255733281943
23,0,bo4,kripke-C,1.1157255733281943
24,0,bo4,kripke-C,1.1157255733281943
25,0,bo4,kripke-C,1.1157255733281943
26,0,bo4,kripke-C,1.1157255733281943
27,0,bo4,kripke-C,1.1157255733281943
28,0,bo4,kripke-C,1.1157255733281943
29,0,bo4,kripke-C,1.1157255733281943
30,0,bo4,kripke-C,1.1157255733281943
1,0,bo4,EP-C,5.626192832897922
2,0,bo4,EP-C,1.34592854729954
3,0,bo4,EP-C,1.34592854729954
4,0,bo4,EP-C,1.34592854729954
5,0,bo4,EP-C,1.34592854729954
6,0,bo4,EP-C,1.34592854729954
7,0,bo4,EP-C,1.34592854729954
8,0,bo4,EP-C,1.3007259150645447
9,0,bo4,EP-C,1.142486461927444
10,0,bo4,EP-C,1.142486461927444
11,0,bo4,EP-C,1.142486461927444
12,0,bo4,EP-C,1.142486461927444
13,0,bo4,EP-C,1.142486461927444
14,0,bo4,EP-C,1.142486461927444
15,0,bo4,EP-C,1.142486461927444
16,0,bo4,EP-C,1.142486461927444
17,0,bo4,EP-C,1.142486461927444
18,0,bo4,EP-C,1.142486461927444
19,0,bo4,EP-C,1.1368853656054037
20,0,bo4,EP-C,1.1368853656054037
21,0,bo4,EP-C,1.1368853656054037
22,0,bo4,EP-C,1.1368853656054037
23,0,bo4,EP-C,1.1368853656054037
24,0,bo4,EP-C,1.1368853656054037
25,0,bo4,EP-C,1.1368853656054037
26,0,bo4,EP-C,1.1368853656054037
27,0,bo4,EP-C,1.1368853656054037
28,0,bo4,EP-C,1.1368853656054037
29,0,bo4,EP-C,1.1368853656054037
30,0,bo4,EP-C,1.1368853656054037
1,0,bo4,LULESH-B,1.0
2,0,bo4,LULESH-B,1.0
3,0,bo4,LULESH-B,1.0
